Alexander-Arnold,Trent,Liverpool
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,58
NON_PEN_XG,0.07,78
TOTAL_SHOTS,1.35,95
ASSISTS,0.22,91
XA,0.26,99
NON_PEN_XG+XA,0.33,95
SHOT_CREATIONS,3.49,97
PASSES_ATTEMPTED,85.79,98
PASS_COMPLETION_PERCENTAGE,74.6,26
PROGRESSIVE_PASSES,8.25,99
PROGRESSIVE CARRIES,6.23,78
DRIBBLES_COMPLETED,1.06,69
TOUCHES_IN_AREA,2.43,85
PROGRESSIVE_PASSES_RECIEVED,3.44,83
PRESSURES,9.31,13
TACKLES,1.61,28
INTERCEPTIONS,1.59,78
BLOCKS,1.25,5
CLEARANCES,2.00,29
AERIAL_DUELS_WON,0.24,1
