Wijnaldum,Georginio,Liverpool
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,51
NON_PEN_XG,0.10,77
TOTAL_SHOTS,0.91,52
ASSISTS,0.00,12
XA,0.04,29
NON_PEN_XG+XA,0.14,56
SHOT_CREATIONS,1.50,36
PASSES_ATTEMPTED,52.23,50
PASS_COMPLETION_PERCENTAGE,92.9,99
PROGRESSIVE_PASSES,2.93,22
PROGRESSIVE CARRIES,5.07,72
DRIBBLES_COMPLETED,1.18,75
TOUCHES_IN_AREA,1.33,64
PROGRESSIVE_PASSES_RECIEVED,2.53,72
PRESSURES,13.36,10
TACKLES,0.98,3
INTERCEPTIONS,0.79,11
BLOCKS,1.16,14
CLEARANCES,0.66,11
AERIAL_DUELS_WON,1.08,48
