Slimani,Islam,Leicester City
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.45,69
NON_PEN_XG,0.44,77
TOTAL_SHOTS,3.01,78
ASSISTS,0.15,57
XA,0.23,93
NON_PEN_XG+XA,0.66,85
SHOT_CREATIONS,2.25,51
PASSES_ATTEMPTED,38.46,95
PASS_COMPLETION_PERCENTAGE,74.2,59
PROGRESSIVE_PASSES,2.85,90
PROGRESSIVE CARRIES,2.25,37
DRIBBLES_COMPLETED,0.45,12
TOUCHES_IN_AREA,7.66,96
PROGRESSIVE_PASSES_RECIEVED,11.27,96
PRESSURES,19.23,91
TACKLES,1.50,98
INTERCEPTIONS,0.15,8
BLOCKS,0.30,1
CLEARANCES,0.60,41
AERIAL_DUELS_WON,2.85,70
