Castagne,Timothy,Leicester City
DM,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,75
NON_PEN_XG,0.05,62
TOTAL_SHOTS,0.29,18
ASSISTS,0.11,61
XA,0.08,50
NON_PEN_XG+XA,0.13,54
SHOT_CREATIONS,1.60,47
PASSES_ATTEMPTED,57.78,68
PASS_COMPLETION_PERCENTAGE,84.1,88
PROGRESSIVE_PASSES,3.67,49
PROGRESSIVE CARRIES,4.95,53
DRIBBLES_COMPLETED,0.53,27
TOUCHES_IN_AREA,1.50,53
PROGRESSIVE_PASSES_RECIEVED,2.39,57
PRESSURES,13.58,64
TACKLES,2.32,69
INTERCEPTIONS,0.82,9
BLOCKS,2.25,74
CLEARANCES,2.39,48
AERIAL_DUELS_WON,1.50,70
