Ndidi,Wilfred,Leicester City
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,38
NON_PEN_XG,0.03,27
TOTAL_SHOTS,0.66,34
ASSISTS,0.15,81
XA,0.06,43
NON_PEN_XG+XA,0.09,30
SHOT_CREATIONS,1.42,29
PASSES_ATTEMPTED,55.68,59
PASS_COMPLETION_PERCENTAGE,88.0,81
PROGRESSIVE_PASSES,2.26,7
PROGRESSIVE CARRIES,1.82,6
DRIBBLES_COMPLETED,0.44,16
TOUCHES_IN_AREA,0.58,21
PROGRESSIVE_PASSES_RECIEVED,0.69,10
PRESSURES,20.23,72
TACKLES,4.26,99
INTERCEPTIONS,2.55,98
BLOCKS,2.58,99
CLEARANCES,3.17,97
AERIAL_DUELS_WON,2.04,85
