Iheanacho,Kelechi,Leicester City
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.72,97
NON_PEN_XG,0.43,74
TOTAL_SHOTS,3.22,85
ASSISTS,0.24,84
XA,0.27,97
NON_PEN_XG+XA,0.70,88
SHOT_CREATIONS,3.22,84
PASSES_ATTEMPTED,29.57,79
PASS_COMPLETION_PERCENTAGE,80.2,89
PROGRESSIVE_PASSES,1.88,67
PROGRESSIVE CARRIES,3.37,66
DRIBBLES_COMPLETED,1.83,85
TOUCHES_IN_AREA,4.81,36
PROGRESSIVE_PASSES_RECIEVED,9.76,85
PRESSURES,15.00,64
TACKLES,0.77,62
INTERCEPTIONS,0.19,18
BLOCKS,1.11,85
CLEARANCES,0.34,18
AERIAL_DUELS_WON,0.72,12
