Riedewald,Jaïro,Crystal Palace
CB,FB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,75
NON_PEN_XG,0.03,29
TOTAL_SHOTS,0.40,13
ASSISTS,0.00,12
XA,0.05,32
NON_PEN_XG+XA,0.08,23
SHOT_CREATIONS,0.94,9
PASSES_ATTEMPTED,31.05,3
PASS_COMPLETION_PERCENTAGE,84.9,58
PROGRESSIVE_PASSES,2.08,5
PROGRESSIVE CARRIES,2.03,8
DRIBBLES_COMPLETED,0.59,32
TOUCHES_IN_AREA,0.74,31
PROGRESSIVE_PASSES_RECIEVED,1.48,40
PRESSURES,14.69,16
TACKLES,1.63,19
INTERCEPTIONS,1.19,40
BLOCKS,2.27,90
CLEARANCES,1.43,55
AERIAL_DUELS_WON,0.69,26
