Kouyaté,Cheikhou,Crystal Palace
CB,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,37
NON_PEN_XG,0.02,22
TOTAL_SHOTS,0.20,7
ASSISTS,0.00,31
XA,0.01,26
NON_PEN_XG+XA,0.03,16
SHOT_CREATIONS,0.46,42
PASSES_ATTEMPTED,35.09,7
PASS_COMPLETION_PERCENTAGE,78.8,7
PROGRESSIVE_PASSES,0.95,2
PROGRESSIVE CARRIES,0.81,6
DRIBBLES_COMPLETED,0.17,36
TOUCHES_IN_AREA,0.81,55
PROGRESSIVE_PASSES_RECIEVED,0.26,62
PRESSURES,10.09,67
TACKLES,2.02,79
INTERCEPTIONS,1.10,30
BLOCKS,1.79,63
CLEARANCES,4.67,39
AERIAL_DUELS_WON,2.71,58
