Benteke,Christian,Crystal Palace
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.50,76
NON_PEN_XG,0.40,69
TOTAL_SHOTS,3.52,89
ASSISTS,0.05,17
XA,0.05,9
NON_PEN_XG+XA,0.45,43
SHOT_CREATIONS,1.88,35
PASSES_ATTEMPTED,28.40,76
PASS_COMPLETION_PERCENTAGE,63.9,12
PROGRESSIVE_PASSES,1.64,59
PROGRESSIVE CARRIES,2.03,32
DRIBBLES_COMPLETED,0.79,30
TOUCHES_IN_AREA,6.29,79
PROGRESSIVE_PASSES_RECIEVED,7.29,44
PRESSURES,11.89,26
TACKLES,0.64,49
INTERCEPTIONS,0.25,32
BLOCKS,0.84,65
CLEARANCES,1.83,99
AERIAL_DUELS_WON,10.51,99
