Mateta,Jean-Philippe,Crystal Palace
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.52,80
NON_PEN_XG,0.51,86
TOTAL_SHOTS,2.29,42
ASSISTS,0.07,31
XA,0.11,44
NON_PEN_XG+XA,0.62,81
SHOT_CREATIONS,2.07,45
PASSES_ATTEMPTED,22.39,44
PASS_COMPLETION_PERCENTAGE,70.3,34
PROGRESSIVE_PASSES,0.67,6
PROGRESSIVE CARRIES,1.77,25
DRIBBLES_COMPLETED,1.18,61
TOUCHES_IN_AREA,4.66,34
PROGRESSIVE_PASSES_RECIEVED,8.57,67
PRESSURES,10.20,10
TACKLES,0.44,24
INTERCEPTIONS,0.15,8
BLOCKS,0.67,43
CLEARANCES,0.67,49
AERIAL_DUELS_WON,2.66,67
