Townsend,Andros,Crystal Palace
,,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,1
NON_PEN_XG,0.09,8
TOTAL_SHOTS,1.43,19
ASSISTS,0.20,57
XA,0.15,37
NON_PEN_XG+XA,0.24,13
SHOT_CREATIONS,2.63,28
PASSES_ATTEMPTED,34.44,33
PASS_COMPLETION_PERCENTAGE,67.9,15
PROGRESSIVE_PASSES,2.99,47
PROGRESSIVE CARRIES,5.62,45
DRIBBLES_COMPLETED,1.75,53
TOUCHES_IN_AREA,1.40,3
PROGRESSIVE_PASSES_RECIEVED,2.71,2
PRESSURES,21.24,91
TACKLES,2.75,99
INTERCEPTIONS,1.91,99
BLOCKS,2.43,99
CLEARANCES,0.48,47
AERIAL_DUELS_WON,0.20,7
