Eze,Eberechi,Crystal Palace
AM,LAM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,24
NON_PEN_XG,0.08,5
TOTAL_SHOTS,1.30,16
ASSISTS,0.21,63
XA,0.10,13
NON_PEN_XG+XA,0.18,3
SHOT_CREATIONS,2.92,38
PASSES_ATTEMPTED,40.73,66
PASS_COMPLETION_PERCENTAGE,79.3,74
PROGRESSIVE_PASSES,3.90,76
PROGRESSIVE CARRIES,6.61,65
DRIBBLES_COMPLETED,2.43,80
TOUCHES_IN_AREA,1.83,5
PROGRESSIVE_PASSES_RECIEVED,3.97,7
PRESSURES,11.22,12
TACKLES,1.34,53
INTERCEPTIONS,1.02,80
BLOCKS,1.13,41
CLEARANCES,0.21,12
AERIAL_DUELS_WON,0.42,27
