McArthur,James,Crystal Palace
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.01,5
TOTAL_SHOTS,0.37,12
ASSISTS,0.12,76
XA,0.06,39
NON_PEN_XG+XA,0.07,17
SHOT_CREATIONS,1.17,17
PASSES_ATTEMPTED,47.21,33
PASS_COMPLETION_PERCENTAGE,81.5,32
PROGRESSIVE_PASSES,3.68,43
PROGRESSIVE CARRIES,3.44,38
DRIBBLES_COMPLETED,1.04,67
TOUCHES_IN_AREA,1.17,58
PROGRESSIVE_PASSES_RECIEVED,1.53,44
PRESSURES,23.21,90
TACKLES,3.44,93
INTERCEPTIONS,1.41,60
BLOCKS,2.39,93
CLEARANCES,1.53,61
AERIAL_DUELS_WON,1.23,54
