Clyne,Nathaniel,Crystal Palace
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.01,8
TOTAL_SHOTS,0.31,20
ASSISTS,0.08,48
XA,0.03,8
NON_PEN_XG+XA,0.04,5
SHOT_CREATIONS,0.55,1
PASSES_ATTEMPTED,44.72,16
PASS_COMPLETION_PERCENTAGE,76.8,40
PROGRESSIVE_PASSES,1.97,2
PROGRESSIVE CARRIES,2.91,12
DRIBBLES_COMPLETED,0.24,5
TOUCHES_IN_AREA,0.47,8
PROGRESSIVE_PASSES_RECIEVED,0.79,5
PRESSURES,9.20,12
TACKLES,1.65,29
INTERCEPTIONS,1.02,25
BLOCKS,1.97,53
CLEARANCES,2.52,52
AERIAL_DUELS_WON,0.55,13
