Milner,James,Liverpool
CM,FB,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.04,37
TOTAL_SHOTS,1.07,62
ASSISTS,0.06,51
XA,0.09,65
NON_PEN_XG+XA,0.13,51
SHOT_CREATIONS,1.63,42
PASSES_ATTEMPTED,72.65,90
PASS_COMPLETION_PERCENTAGE,84.2,52
PROGRESSIVE_PASSES,7.04,94
PROGRESSIVE CARRIES,5.34,78
DRIBBLES_COMPLETED,0.63,35
TOUCHES_IN_AREA,2.01,85
PROGRESSIVE_PASSES_RECIEVED,2.89,78
PRESSURES,17.85,48
TACKLES,2.45,63
INTERCEPTIONS,1.57,72
BLOCKS,2.95,99
CLEARANCES,1.51,60
AERIAL_DUELS_WON,1.95,84
