Alcántara,Thiago,Liverpool
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,40
NON_PEN_XG,0.07,61
TOTAL_SHOTS,1.01,59
ASSISTS,0.00,12
XA,0.11,78
NON_PEN_XG+XA,0.18,70
SHOT_CREATIONS,3.00,89
PASSES_ATTEMPTED,81.57,96
PASS_COMPLETION_PERCENTAGE,89.6,90
PROGRESSIVE_PASSES,9.11,99
PROGRESSIVE CARRIES,7.61,93
DRIBBLES_COMPLETED,1.27,78
TOUCHES_IN_AREA,0.90,43
PROGRESSIVE_PASSES_RECIEVED,1.84,54
PRESSURES,22.00,84
TACKLES,3.64,95
INTERCEPTIONS,1.87,87
BLOCKS,1.20,17
CLEARANCES,0.97,26
AERIAL_DUELS_WON,1.50,70
