Jota,Diogo,Liverpool
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.69,98
NON_PEN_XG,0.57,99
TOTAL_SHOTS,3.50,97
ASSISTS,0.05,8
XA,0.13,24
NON_PEN_XG+XA,0.70,97
SHOT_CREATIONS,2.81,34
PASSES_ATTEMPTED,35.22,36
PASS_COMPLETION_PERCENTAGE,72.0,30
PROGRESSIVE_PASSES,3.29,56
PROGRESSIVE CARRIES,6.31,58
DRIBBLES_COMPLETED,1.75,51
TOUCHES_IN_AREA,7.64,97
PROGRESSIVE_PASSES_RECIEVED,10.82,97
PRESSURES,22.17,96
TACKLES,0.95,24
INTERCEPTIONS,0.64,35
BLOCKS,1.22,51
CLEARANCES,0.27,20
AERIAL_DUELS_WON,1.17,80
