Alisson,,Liverpool
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.20,98
GOALS_CONCEDED,0.93,90
SAVE_PERCENTAGE,75.4,90
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.32,79
PENALTY_SAVE_PERCENTAGE,20.0,60
CLEAN_SHEET_PERCENTAGE,37.5,85
TOUCHES,37.50,62
LAUNCH_PERCENTAGE,23.7,5
GOAL_KICKS,5.58,12
AVG_GOAL_KICK_DISTANCE,36.6,25
CROSSES_STOPPED_PERCENTAGE,8.8,75
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.28,94
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,17.7,97
