Phillips,Nathaniel,Liverpool
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,62
NON_PEN_XG,0.06,79
TOTAL_SHOTS,0.78,89
ASSISTS,0.05,86
XA,0.02,73
NON_PEN_XG+XA,0.08,79
SHOT_CREATIONS,0.57,59
PASSES_ATTEMPTED,63.88,76
PASS_COMPLETION_PERCENTAGE,87.3,57
PROGRESSIVE_PASSES,4.17,88
PROGRESSIVE CARRIES,2.71,53
DRIBBLES_COMPLETED,0.10,16
TOUCHES_IN_AREA,1.15,86
PROGRESSIVE_PASSES_RECIEVED,0.21,57
PRESSURES,11.73,84
TACKLES,1.15,24
INTERCEPTIONS,1.93,88
BLOCKS,1.56,40
CLEARANCES,8.81,99
AERIAL_DUELS_WON,6.05,99
