Robertson,Andrew,Liverpool
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.02,41
NON_PEN_XG,0.03,44
TOTAL_SHOTS,0.50,45
ASSISTS,0.15,80
XA,0.18,90
NON_PEN_XG+XA,0.21,84
SHOT_CREATIONS,2.65,88
PASSES_ATTEMPTED,84.15,98
PASS_COMPLETION_PERCENTAGE,79.9,64
PROGRESSIVE_PASSES,6.83,98
PROGRESSIVE CARRIES,6.35,79
DRIBBLES_COMPLETED,0.83,56
TOUCHES_IN_AREA,2.59,89
PROGRESSIVE_PASSES_RECIEVED,3.94,91
PRESSURES,9.07,11
TACKLES,1.20,8
INTERCEPTIONS,0.87,16
BLOCKS,1.59,20
CLEARANCES,2.41,49
AERIAL_DUELS_WON,1.09,43
