Matip,Joël,Liverpool
CB,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,88
NON_PEN_XG,0.07,85
TOTAL_SHOTS,0.62,76
ASSISTS,0.21,99
XA,0.10,99
NON_PEN_XG+XA,0.18,99
SHOT_CREATIONS,0.62,67
PASSES_ATTEMPTED,67.63,83
PASS_COMPLETION_PERCENTAGE,87.8,63
PROGRESSIVE_PASSES,2.39,43
PROGRESSIVE CARRIES,4.79,87
DRIBBLES_COMPLETED,0.00,2
TOUCHES_IN_AREA,0.73,45
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,7.91,36
TACKLES,1.98,77
INTERCEPTIONS,0.62,3
BLOCKS,0.83,1
CLEARANCES,3.64,9
AERIAL_DUELS_WON,3.02,70
