Mané,Sadio,Liverpool
AM,LAM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.36,86
NON_PEN_XG,0.45,96
TOTAL_SHOTS,2.78,85
ASSISTS,0.20,60
XA,0.17,47
NON_PEN_XG+XA,0.62,94
SHOT_CREATIONS,3.65,69
PASSES_ATTEMPTED,33.23,27
PASS_COMPLETION_PERCENTAGE,75.1,45
PROGRESSIVE_PASSES,3.27,55
PROGRESSIVE CARRIES,6.56,63
DRIBBLES_COMPLETED,2.50,82
TOUCHES_IN_AREA,8.07,97
PROGRESSIVE_PASSES_RECIEVED,12.28,99
PRESSURES,14.99,44
TACKLES,1.28,49
INTERCEPTIONS,0.51,21
BLOCKS,1.17,47
CLEARANCES,0.23,15
AERIAL_DUELS_WON,1.00,71
