Williams,Rhys,Liverpool
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.05,56
TOTAL_SHOTS,0.63,77
ASSISTS,0.00,31
XA,0.04,92
NON_PEN_XG+XA,0.08,78
SHOT_CREATIONS,0.54,54
PASSES_ATTEMPTED,61.57,72
PASS_COMPLETION_PERCENTAGE,90.7,86
PROGRESSIVE_PASSES,1.36,8
PROGRESSIVE CARRIES,1.45,21
DRIBBLES_COMPLETED,0.09,14
TOUCHES_IN_AREA,0.91,66
PROGRESSIVE_PASSES_RECIEVED,0.27,67
PRESSURES,8.06,41
TACKLES,0.91,8
INTERCEPTIONS,0.91,14
BLOCKS,0.54,1
CLEARANCES,7.24,93
AERIAL_DUELS_WON,4.53,97
