Shaqiri,Xherdan,Liverpool
AM,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.06,55
TOTAL_SHOTS,1.51,86
ASSISTS,0.25,97
XA,0.44,99
NON_PEN_XG+XA,0.49,99
SHOT_CREATIONS,4.53,97
PASSES_ATTEMPTED,65.33,83
PASS_COMPLETION_PERCENTAGE,82.5,37
PROGRESSIVE_PASSES,6.04,88
PROGRESSIVE CARRIES,3.02,28
DRIBBLES_COMPLETED,1.13,73
TOUCHES_IN_AREA,2.52,91
PROGRESSIVE_PASSES_RECIEVED,6.17,97
PRESSURES,17.12,40
TACKLES,1.26,8
INTERCEPTIONS,0.50,1
BLOCKS,2.01,81
CLEARANCES,0.25,1
AERIAL_DUELS_WON,0.50,13
