Podence,Daniel,Wolves
AM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,28
NON_PEN_XG,0.17,34
TOTAL_SHOTS,1.72,34
ASSISTS,0.10,21
XA,0.10,15
NON_PEN_XG+XA,0.28,22
SHOT_CREATIONS,3.33,54
PASSES_ATTEMPTED,34.21,31
PASS_COMPLETION_PERCENTAGE,74.9,44
PROGRESSIVE_PASSES,3.59,66
PROGRESSIVE CARRIES,4.78,27
DRIBBLES_COMPLETED,1.92,60
TOUCHES_IN_AREA,3.74,48
PROGRESSIVE_PASSES_RECIEVED,5.15,23
PRESSURES,13.47,28
TACKLES,1.09,35
INTERCEPTIONS,0.78,55
BLOCKS,0.42,2
CLEARANCES,0.36,33
AERIAL_DUELS_WON,0.42,26
