Saïss,Romain,Wolves
CB,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,89
NON_PEN_XG,0.12,99
TOTAL_SHOTS,1.04,99
ASSISTS,0.00,31
XA,0.01,44
NON_PEN_XG+XA,0.13,99
SHOT_CREATIONS,0.59,63
PASSES_ATTEMPTED,50.48,41
PASS_COMPLETION_PERCENTAGE,81.7,16
PROGRESSIVE_PASSES,3.72,78
PROGRESSIVE CARRIES,2.47,46
DRIBBLES_COMPLETED,0.28,64
TOUCHES_IN_AREA,1.29,92
PROGRESSIVE_PASSES_RECIEVED,0.52,90
PRESSURES,9.53,59
TACKLES,1.36,41
INTERCEPTIONS,1.39,57
BLOCKS,1.70,54
CLEARANCES,6.12,80
AERIAL_DUELS_WON,3.31,82
