Moutinho,João,Wolves
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,35
NON_PEN_XG,0.02,16
TOTAL_SHOTS,0.60,30
ASSISTS,0.03,28
XA,0.09,68
NON_PEN_XG+XA,0.12,43
SHOT_CREATIONS,3.18,91
PASSES_ATTEMPTED,62.48,77
PASS_COMPLETION_PERCENTAGE,84.4,54
PROGRESSIVE_PASSES,4.25,55
PROGRESSIVE CARRIES,5.42,79
DRIBBLES_COMPLETED,0.37,7
TOUCHES_IN_AREA,0.37,10
PROGRESSIVE_PASSES_RECIEVED,1.61,47
PRESSURES,19.62,65
TACKLES,2.38,58
INTERCEPTIONS,1.34,51
BLOCKS,1.41,33
CLEARANCES,1.07,31
AERIAL_DUELS_WON,0.70,26
