Patrício,Rui,Wolves
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.06,40
GOALS_CONCEDED,1.33,57
SAVE_PERCENTAGE,70.0,58
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.27,18
PENALTY_SAVE_PERCENTAGE,12.5,43
CLEAN_SHEET_PERCENTAGE,28.2,60
TOUCHES,23.57,1
LAUNCH_PERCENTAGE,53.4,84
GOAL_KICKS,7.44,54
AVG_GOAL_KICK_DISTANCE,46.2,54
CROSSES_STOPPED_PERCENTAGE,5.7,19
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.15,1
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,11.4,1
