Neves,Rúben,Wolves
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,62
NON_PEN_XG,0.09,75
TOTAL_SHOTS,2.18,95
ASSISTS,0.03,27
XA,0.07,58
NON_PEN_XG+XA,0.17,68
SHOT_CREATIONS,2.08,63
PASSES_ATTEMPTED,63.08,79
PASS_COMPLETION_PERCENTAGE,84.0,48
PROGRESSIVE_PASSES,4.67,65
PROGRESSIVE CARRIES,3.97,47
DRIBBLES_COMPLETED,0.38,9
TOUCHES_IN_AREA,0.82,36
PROGRESSIVE_PASSES_RECIEVED,1.07,24
PRESSURES,19.54,64
TACKLES,2.90,80
INTERCEPTIONS,1.45,62
BLOCKS,2.43,95
CLEARANCES,1.73,71
AERIAL_DUELS_WON,0.95,41
