Bamford,Patrick,Leeds United
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.44,68
NON_PEN_XG,0.46,80
TOTAL_SHOTS,3.10,80
ASSISTS,0.21,73
XA,0.12,51
NON_PEN_XG+XA,0.58,75
SHOT_CREATIONS,1.77,29
PASSES_ATTEMPTED,14.93,3
PASS_COMPLETION_PERCENTAGE,76.3,74
PROGRESSIVE_PASSES,0.91,21
PROGRESSIVE CARRIES,1.65,20
DRIBBLES_COMPLETED,0.50,14
TOUCHES_IN_AREA,5.40,55
PROGRESSIVE_PASSES_RECIEVED,6.17,15
PRESSURES,17.85,84
TACKLES,0.77,61
INTERCEPTIONS,0.38,65
BLOCKS,0.47,15
CLEARANCES,1.03,85
AERIAL_DUELS_WON,1.59,44
