Meslier,Illan,Leeds United
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.15,88
GOALS_CONCEDED,1.49,38
SAVE_PERCENTAGE,75.1,88
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.27,18
PENALTY_SAVE_PERCENTAGE,11.1,38
CLEAN_SHEET_PERCENTAGE,31.4,69
TOUCHES,41.86,84
LAUNCH_PERCENTAGE,28.4,13
GOAL_KICKS,7.60,60
AVG_GOAL_KICK_DISTANCE,34.0,17
CROSSES_STOPPED_PERCENTAGE,10.6,96
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.57,45
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,13.6,30
