Koch,Robin,Leeds United
DF,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.06,81
TOTAL_SHOTS,0.72,85
ASSISTS,0.00,31
XA,0.02,59
NON_PEN_XG+XA,0.08,78
SHOT_CREATIONS,0.80,84
PASSES_ATTEMPTED,60.19,69
PASS_COMPLETION_PERCENTAGE,85.6,43
PROGRESSIVE_PASSES,3.50,74
PROGRESSIVE CARRIES,2.78,54
DRIBBLES_COMPLETED,0.16,30
TOUCHES_IN_AREA,0.87,63
PROGRESSIVE_PASSES_RECIEVED,0.48,88
PRESSURES,14.55,96
TACKLES,2.31,89
INTERCEPTIONS,1.03,23
BLOCKS,2.46,98
CLEARANCES,3.18,4
AERIAL_DUELS_WON,3.18,77
