Alioski,Ezgjan,Leeds United
AM,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,76
NON_PEN_XG,0.05,69
TOTAL_SHOTS,0.91,82
ASSISTS,0.11,64
XA,0.11,71
NON_PEN_XG+XA,0.17,70
SHOT_CREATIONS,2.08,72
PASSES_ATTEMPTED,59.61,74
PASS_COMPLETION_PERCENTAGE,80.1,66
PROGRESSIVE_PASSES,4.17,67
PROGRESSIVE CARRIES,5.08,57
DRIBBLES_COMPLETED,0.55,28
TOUCHES_IN_AREA,1.68,62
PROGRESSIVE_PASSES_RECIEVED,2.60,62
PRESSURES,19.53,99
TACKLES,3.00,90
INTERCEPTIONS,1.32,59
BLOCKS,1.68,28
CLEARANCES,2.23,40
AERIAL_DUELS_WON,1.57,74
