Jesus,Gabriel,Manchester City
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.43,65
NON_PEN_XG,0.39,66
TOTAL_SHOTS,2.58,60
ASSISTS,0.18,65
XA,0.18,76
NON_PEN_XG+XA,0.57,73
SHOT_CREATIONS,3.29,86
PASSES_ATTEMPTED,32.41,82
PASS_COMPLETION_PERCENTAGE,84.4,97
PROGRESSIVE_PASSES,1.43,51
PROGRESSIVE CARRIES,5.19,86
DRIBBLES_COMPLETED,2.08,90
TOUCHES_IN_AREA,6.91,89
PROGRESSIVE_PASSES_RECIEVED,11.57,97
PRESSURES,14.97,62
TACKLES,1.11,87
INTERCEPTIONS,0.86,97
BLOCKS,0.93,74
CLEARANCES,0.14,5
AERIAL_DUELS_WON,0.75,14
