Mahrez,Riyad,Manchester City
AM,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.39,88
NON_PEN_XG,0.30,82
TOTAL_SHOTS,2.67,79
ASSISTS,0.26,77
XA,0.24,80
NON_PEN_XG+XA,0.54,84
SHOT_CREATIONS,4.03,80
PASSES_ATTEMPTED,49.98,87
PASS_COMPLETION_PERCENTAGE,82.9,94
PROGRESSIVE_PASSES,3.93,77
PROGRESSIVE CARRIES,9.21,94
DRIBBLES_COMPLETED,1.84,58
TOUCHES_IN_AREA,7.31,96
PROGRESSIVE_PASSES_RECIEVED,8.66,87
PRESSURES,13.56,30
TACKLES,1.16,39
INTERCEPTIONS,0.39,8
BLOCKS,1.03,30
CLEARANCES,0.23,15
AERIAL_DUELS_WON,0.61,46
