"b'Gundogan, Ilkay'",Manchester City
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.42,99
NON_PEN_XG,0.27,99
TOTAL_SHOTS,1.87,93
ASSISTS,0.08,61
XA,0.18,93
NON_PEN_XG+XA,0.44,98
SHOT_CREATIONS,3.11,90
PASSES_ATTEMPTED,77.70,94
PASS_COMPLETION_PERCENTAGE,91.4,95
PROGRESSIVE_PASSES,5.52,82
PROGRESSIVE CARRIES,7.86,94
DRIBBLES_COMPLETED,1.44,84
TOUCHES_IN_AREA,3.31,97
PROGRESSIVE_PASSES_RECIEVED,4.44,91
PRESSURES,10.72,2
TACKLES,1.13,6
INTERCEPTIONS,1.05,28
BLOCKS,0.68,1
CLEARANCES,0.51,6
AERIAL_DUELS_WON,0.62,19
