Otamendi,Nicolás,Manchester City
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.02,15
TOTAL_SHOTS,0.19,6
ASSISTS,0.00,31
XA,0.00,7
NON_PEN_XG+XA,0.02,4
SHOT_CREATIONS,0.19,3
PASSES_ATTEMPTED,50.55,41
PASS_COMPLETION_PERCENTAGE,90.9,87
PROGRESSIVE_PASSES,1.72,15
PROGRESSIVE CARRIES,3.45,68
DRIBBLES_COMPLETED,0.19,41
TOUCHES_IN_AREA,0.38,11
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,7.28,27
TACKLES,1.91,74
INTERCEPTIONS,1.53,66
BLOCKS,0.77,1
CLEARANCES,3.83,12
AERIAL_DUELS_WON,1.53,9
