Torres,Ferrán,Manchester City
AM,RAM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.59,98
NON_PEN_XG,0.43,96
TOTAL_SHOTS,2.65,78
ASSISTS,0.11,21
XA,0.15,36
NON_PEN_XG+XA,0.57,88
SHOT_CREATIONS,3.19,51
PASSES_ATTEMPTED,27.50,11
PASS_COMPLETION_PERCENTAGE,81.7,88
PROGRESSIVE_PASSES,2.32,25
PROGRESSIVE CARRIES,4.54,20
DRIBBLES_COMPLETED,1.51,42
TOUCHES_IN_AREA,5.29,77
PROGRESSIVE_PASSES_RECIEVED,6.16,41
PRESSURES,15.13,46
TACKLES,1.08,35
INTERCEPTIONS,0.49,17
BLOCKS,1.08,36
CLEARANCES,0.43,42
AERIAL_DUELS_WON,0.76,58
