Cancelo,João,Manchester City
CB,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,83
NON_PEN_XG,0.07,81
TOTAL_SHOTS,1.28,94
ASSISTS,0.12,69
XA,0.17,87
NON_PEN_XG+XA,0.24,88
SHOT_CREATIONS,2.60,87
PASSES_ATTEMPTED,83.49,97
PASS_COMPLETION_PERCENTAGE,85.8,93
PROGRESSIVE_PASSES,6.36,95
PROGRESSIVE CARRIES,8.46,96
DRIBBLES_COMPLETED,2.31,97
TOUCHES_IN_AREA,3.01,92
PROGRESSIVE_PASSES_RECIEVED,3.33,79
PRESSURES,12.69,52
TACKLES,2.98,89
INTERCEPTIONS,2.07,95
BLOCKS,1.49,16
CLEARANCES,1.43,11
AERIAL_DUELS_WON,1.61,76
