Aké,Nathan,Manchester City
CB,LCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,84
NON_PEN_XG,0.03,28
TOTAL_SHOTS,0.37,32
ASSISTS,0.09,97
XA,0.00,7
NON_PEN_XG+XA,0.03,15
SHOT_CREATIONS,0.37,24
PASSES_ATTEMPTED,82.26,98
PASS_COMPLETION_PERCENTAGE,92.6,94
PROGRESSIVE_PASSES,3.96,84
PROGRESSIVE CARRIES,7.00,99
DRIBBLES_COMPLETED,0.00,2
TOUCHES_IN_AREA,0.55,26
PROGRESSIVE_PASSES_RECIEVED,0.37,81
PRESSURES,8.11,41
TACKLES,1.66,64
INTERCEPTIONS,0.74,5
BLOCKS,0.83,1
CLEARANCES,2.86,1
AERIAL_DUELS_WON,3.32,82
