Dias,Rúben,Manchester City
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.02,33
NON_PEN_XG,0.08,92
TOTAL_SHOTS,0.43,43
ASSISTS,0.00,31
XA,0.00,13
NON_PEN_XG+XA,0.08,79
SHOT_CREATIONS,0.64,70
PASSES_ATTEMPTED,84.26,99
PASS_COMPLETION_PERCENTAGE,93.9,97
PROGRESSIVE_PASSES,3.78,80
PROGRESSIVE CARRIES,7.04,99
DRIBBLES_COMPLETED,0.09,15
TOUCHES_IN_AREA,0.90,66
PROGRESSIVE_PASSES_RECIEVED,0.33,78
PRESSURES,5.88,8
TACKLES,1.04,18
INTERCEPTIONS,0.94,17
BLOCKS,1.42,25
CLEARANCES,3.52,8
AERIAL_DUELS_WON,1.91,20
