Lacazette,Alexandre,Arsenal
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.46,73
NON_PEN_XG,0.35,50
TOTAL_SHOTS,2.05,30
ASSISTS,0.08,32
XA,0.13,54
NON_PEN_XG+XA,0.48,50
SHOT_CREATIONS,2.17,47
PASSES_ATTEMPTED,25.17,57
PASS_COMPLETION_PERCENTAGE,77.5,81
PROGRESSIVE_PASSES,2.44,79
PROGRESSIVE CARRIES,1.90,27
DRIBBLES_COMPLETED,1.05,53
TOUCHES_IN_AREA,4.84,38
PROGRESSIVE_PASSES_RECIEVED,7.13,41
PRESSURES,14.56,56
TACKLES,1.08,84
INTERCEPTIONS,0.58,90
BLOCKS,0.81,61
CLEARANCES,0.54,36
AERIAL_DUELS_WON,1.43,41
