Leno,Bernd,Arsenal
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.06,73
GOALS_CONCEDED,1.05,85
SAVE_PERCENTAGE,69.2,52
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.30,54
PENALTY_SAVE_PERCENTAGE,33.3,87
CLEAN_SHEET_PERCENTAGE,28.9,62
TOUCHES,34.54,43
LAUNCH_PERCENTAGE,22.4,3
GOAL_KICKS,5.98,18
AVG_GOAL_KICK_DISTANCE,45.9,52
CROSSES_STOPPED_PERCENTAGE,7.9,62
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.56,41
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.5,52
