Martinelli,,Arsenal
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.26,66
NON_PEN_XG,0.49,98
TOTAL_SHOTS,2.97,92
ASSISTS,0.13,26
XA,0.31,95
NON_PEN_XG+XA,0.80,98
SHOT_CREATIONS,2.97,41
PASSES_ATTEMPTED,24.79,3
PASS_COMPLETION_PERCENTAGE,79.2,73
PROGRESSIVE_PASSES,1.42,4
PROGRESSIVE CARRIES,5.17,34
DRIBBLES_COMPLETED,2.71,87
TOUCHES_IN_AREA,6.33,87
PROGRESSIVE_PASSES_RECIEVED,6.71,54
PRESSURES,22.08,96
TACKLES,0.77,11
INTERCEPTIONS,1.42,94
BLOCKS,1.68,86
CLEARANCES,1.29,94
AERIAL_DUELS_WON,1.03,74
