Dos Santos,Gabriel,Arsenal
CB,LCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,90
NON_PEN_XG,0.04,46
TOTAL_SHOTS,0.71,85
ASSISTS,0.04,78
XA,0.00,17
NON_PEN_XG+XA,0.04,30
SHOT_CREATIONS,0.43,35
PASSES_ATTEMPTED,68.85,85
PASS_COMPLETION_PERCENTAGE,85.9,46
PROGRESSIVE_PASSES,2.34,41
PROGRESSIVE CARRIES,5.00,89
DRIBBLES_COMPLETED,0.18,37
TOUCHES_IN_AREA,1.06,81
PROGRESSIVE_PASSES_RECIEVED,0.32,76
PRESSURES,6.96,21
TACKLES,1.06,20
INTERCEPTIONS,1.06,26
BLOCKS,1.74,60
CLEARANCES,5.04,50
AERIAL_DUELS_WON,3.27,80
