Chambers,Calum,Arsenal
CB,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.07,79
TOTAL_SHOTS,1.02,86
ASSISTS,0.26,96
XA,0.10,65
NON_PEN_XG+XA,0.17,71
SHOT_CREATIONS,1.62,48
PASSES_ATTEMPTED,64.64,84
PASS_COMPLETION_PERCENTAGE,82.0,78
PROGRESSIVE_PASSES,3.16,30
PROGRESSIVE CARRIES,3.76,31
DRIBBLES_COMPLETED,0.34,8
TOUCHES_IN_AREA,2.48,86
PROGRESSIVE_PASSES_RECIEVED,2.05,43
PRESSURES,10.25,19
TACKLES,1.37,13
INTERCEPTIONS,1.54,74
BLOCKS,1.79,38
CLEARANCES,4.35,97
AERIAL_DUELS_WON,2.65,97
