Xhaka,Granit,Arsenal
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,31
NON_PEN_XG,0.02,16
TOTAL_SHOTS,0.62,31
ASSISTS,0.05,44
XA,0.05,34
NON_PEN_XG+XA,0.07,19
SHOT_CREATIONS,1.47,33
PASSES_ATTEMPTED,76.49,92
PASS_COMPLETION_PERCENTAGE,90.0,92
PROGRESSIVE_PASSES,7.17,95
PROGRESSIVE CARRIES,5.78,81
DRIBBLES_COMPLETED,0.45,18
TOUCHES_IN_AREA,0.45,12
PROGRESSIVE_PASSES_RECIEVED,0.83,16
PRESSURES,11.69,3
TACKLES,2.01,41
INTERCEPTIONS,0.94,23
BLOCKS,0.96,5
CLEARANCES,1.82,75
AERIAL_DUELS_WON,1.63,74
