Richarlison,,Everton
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,43
NON_PEN_XG,0.34,90
TOTAL_SHOTS,2.58,77
ASSISTS,0.09,16
XA,0.10,14
NON_PEN_XG+XA,0.43,67
SHOT_CREATIONS,2.52,23
PASSES_ATTEMPTED,24.29,3
PASS_COMPLETION_PERCENTAGE,69.2,21
PROGRESSIVE_PASSES,1.32,3
PROGRESSIVE CARRIES,5.32,38
DRIBBLES_COMPLETED,1.95,62
TOUCHES_IN_AREA,4.94,73
PROGRESSIVE_PASSES_RECIEVED,7.33,69
PRESSURES,18.06,75
TACKLES,1.54,71
INTERCEPTIONS,0.63,33
BLOCKS,1.04,32
CLEARANCES,1.20,92
AERIAL_DUELS_WON,1.32,84
