Kean,Moise,Everton
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.67,89
NON_PEN_XG,0.51,85
TOTAL_SHOTS,2.72,68
ASSISTS,0.04,12
XA,0.06,19
NON_PEN_XG+XA,0.57,72
SHOT_CREATIONS,1.50,15
PASSES_ATTEMPTED,17.13,12
PASS_COMPLETION_PERCENTAGE,78.8,83
PROGRESSIVE_PASSES,0.96,25
PROGRESSIVE CARRIES,2.92,58
DRIBBLES_COMPLETED,1.63,80
TOUCHES_IN_AREA,5.10,48
PROGRESSIVE_PASSES_RECIEVED,6.43,24
PRESSURES,9.32,10
TACKLES,0.50,32
INTERCEPTIONS,0.38,64
BLOCKS,0.59,32
CLEARANCES,0.50,32
AERIAL_DUELS_WON,0.71,11
