Sigurðsson,Gylfi,Everton
AM,CM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,17
NON_PEN_XG,0.15,29
TOTAL_SHOTS,1.80,37
ASSISTS,0.20,57
XA,0.20,69
NON_PEN_XG+XA,0.35,42
SHOT_CREATIONS,2.68,30
PASSES_ATTEMPTED,37.83,51
PASS_COMPLETION_PERCENTAGE,79.1,73
PROGRESSIVE_PASSES,2.48,28
PROGRESSIVE CARRIES,2.24,1
DRIBBLES_COMPLETED,0.60,3
TOUCHES_IN_AREA,1.96,7
PROGRESSIVE_PASSES_RECIEVED,3.44,3
PRESSURES,19.01,80
TACKLES,1.40,58
INTERCEPTIONS,1.24,91
BLOCKS,1.92,94
CLEARANCES,0.84,78
AERIAL_DUELS_WON,0.32,15
