Bernard,,Everton
AM,LM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,47
NON_PEN_XG,0.04,1
TOTAL_SHOTS,1.19,12
ASSISTS,0.00,3
XA,0.14,28
NON_PEN_XG+XA,0.18,3
SHOT_CREATIONS,3.36,57
PASSES_ATTEMPTED,53.80,92
PASS_COMPLETION_PERCENTAGE,79.4,74
PROGRESSIVE_PASSES,4.55,85
PROGRESSIVE CARRIES,6.92,69
DRIBBLES_COMPLETED,1.98,64
TOUCHES_IN_AREA,3.16,35
PROGRESSIVE_PASSES_RECIEVED,6.73,54
PRESSURES,15.63,51
TACKLES,0.99,28
INTERCEPTIONS,1.38,93
BLOCKS,1.78,89
CLEARANCES,0.59,58
AERIAL_DUELS_WON,0.00,1
