Keane,Michael,Everton
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,84
NON_PEN_XG,0.04,43
TOTAL_SHOTS,0.48,54
ASSISTS,0.03,69
XA,0.03,89
NON_PEN_XG+XA,0.07,67
SHOT_CREATIONS,0.66,73
PASSES_ATTEMPTED,55.22,54
PASS_COMPLETION_PERCENTAGE,88.9,72
PROGRESSIVE_PASSES,2.62,51
PROGRESSIVE CARRIES,2.56,48
DRIBBLES_COMPLETED,0.12,22
TOUCHES_IN_AREA,1.08,82
PROGRESSIVE_PASSES_RECIEVED,0.09,21
PRESSURES,6.14,11
TACKLES,0.93,10
INTERCEPTIONS,1.29,48
BLOCKS,2.23,92
CLEARANCES,5.96,75
AERIAL_DUELS_WON,3.76,90
