Rice,Declan,West Ham
DF,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,33
NON_PEN_XG,0.05,39
TOTAL_SHOTS,0.75,40
ASSISTS,0.03,26
XA,0.07,51
NON_PEN_XG+XA,0.11,40
SHOT_CREATIONS,1.53,38
PASSES_ATTEMPTED,47.08,33
PASS_COMPLETION_PERCENTAGE,86.2,66
PROGRESSIVE_PASSES,2.94,22
PROGRESSIVE CARRIES,5.16,75
DRIBBLES_COMPLETED,1.03,66
TOUCHES_IN_AREA,1.25,61
PROGRESSIVE_PASSES_RECIEVED,1.09,25
PRESSURES,15.47,22
TACKLES,2.41,61
INTERCEPTIONS,2.13,94
BLOCKS,1.69,61
CLEARANCES,1.44,56
AERIAL_DUELS_WON,1.47,68
