Bowen,Jarrod,West Ham
AM,RAM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.28,70
NON_PEN_XG,0.22,61
TOTAL_SHOTS,1.93,45
ASSISTS,0.18,48
XA,0.16,44
NON_PEN_XG+XA,0.38,49
SHOT_CREATIONS,2.74,32
PASSES_ATTEMPTED,25.78,6
PASS_COMPLETION_PERCENTAGE,68.0,15
PROGRESSIVE_PASSES,1.30,3
PROGRESSIVE CARRIES,3.97,10
DRIBBLES_COMPLETED,1.41,34
TOUCHES_IN_AREA,4.22,59
PROGRESSIVE_PASSES_RECIEVED,6.18,42
PRESSURES,12.82,24
TACKLES,0.81,13
INTERCEPTIONS,0.77,54
BLOCKS,1.37,68
CLEARANCES,0.18,8
AERIAL_DUELS_WON,0.70,56
