Ogbonna,Angelo,West Ham
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,90
NON_PEN_XG,0.05,68
TOTAL_SHOTS,0.43,44
ASSISTS,0.00,31
XA,0.04,92
NON_PEN_XG+XA,0.09,85
SHOT_CREATIONS,0.22,6
PASSES_ATTEMPTED,34.67,5
PASS_COMPLETION_PERCENTAGE,84.4,32
PROGRESSIVE_PASSES,0.94,1
PROGRESSIVE CARRIES,1.37,19
DRIBBLES_COMPLETED,0.14,27
TOUCHES_IN_AREA,1.01,75
PROGRESSIVE_PASSES_RECIEVED,0.25,61
PRESSURES,7.87,36
TACKLES,0.98,13
INTERCEPTIONS,0.98,20
BLOCKS,1.48,30
CLEARANCES,6.03,78
AERIAL_DUELS_WON,2.78,61
