Haller,Sébastien,West Ham
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.29,30
NON_PEN_XG,0.28,23
TOTAL_SHOTS,2.40,46
ASSISTS,0.00,4
XA,0.12,49
NON_PEN_XG+XA,0.39,25
SHOT_CREATIONS,1.63,24
PASSES_ATTEMPTED,24.20,54
PASS_COMPLETION_PERCENTAGE,67.9,21
PROGRESSIVE_PASSES,1.83,65
PROGRESSIVE CARRIES,0.77,1
DRIBBLES_COMPLETED,0.77,29
TOUCHES_IN_AREA,5.19,51
PROGRESSIVE_PASSES_RECIEVED,6.63,33
PRESSURES,19.11,90
TACKLES,1.06,83
INTERCEPTIONS,0.48,79
BLOCKS,0.38,4
CLEARANCES,0.67,50
AERIAL_DUELS_WON,5.86,95
