Antonio,Michail,West Ham
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.46,70
NON_PEN_XG,0.52,86
TOTAL_SHOTS,2.92,76
ASSISTS,0.23,81
XA,0.10,40
NON_PEN_XG+XA,0.62,82
SHOT_CREATIONS,2.96,76
PASSES_ATTEMPTED,22.34,43
PASS_COMPLETION_PERCENTAGE,66.5,16
PROGRESSIVE_PASSES,1.14,34
PROGRESSIVE CARRIES,4.88,82
DRIBBLES_COMPLETED,2.14,91
TOUCHES_IN_AREA,5.93,71
PROGRESSIVE_PASSES_RECIEVED,8.66,68
PRESSURES,11.58,24
TACKLES,0.64,46
INTERCEPTIONS,0.41,71
BLOCKS,1.14,87
CLEARANCES,0.36,23
AERIAL_DUELS_WON,2.87,71
