Balbuena,Fabián,West Ham
CB,RCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,80
NON_PEN_XG,0.05,55
TOTAL_SHOTS,0.60,71
ASSISTS,0.00,31
XA,0.00,7
NON_PEN_XG+XA,0.05,33
SHOT_CREATIONS,0.15,1
PASSES_ATTEMPTED,34.93,6
PASS_COMPLETION_PERCENTAGE,76.8,4
PROGRESSIVE_PASSES,2.25,36
PROGRESSIVE CARRIES,0.98,8
DRIBBLES_COMPLETED,0.15,29
TOUCHES_IN_AREA,0.75,49
PROGRESSIVE_PASSES_RECIEVED,0.38,82
PRESSURES,10.07,66
TACKLES,1.80,69
INTERCEPTIONS,1.05,25
BLOCKS,1.88,72
CLEARANCES,6.69,88
AERIAL_DUELS_WON,1.95,22
