Coufal,Vladimír,West Ham
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.04,48
TOTAL_SHOTS,0.44,35
ASSISTS,0.21,89
XA,0.14,80
NON_PEN_XG+XA,0.17,71
SHOT_CREATIONS,2.09,73
PASSES_ATTEMPTED,49.89,33
PASS_COMPLETION_PERCENTAGE,70.9,12
PROGRESSIVE_PASSES,3.51,42
PROGRESSIVE CARRIES,3.18,17
DRIBBLES_COMPLETED,0.53,27
TOUCHES_IN_AREA,1.39,46
PROGRESSIVE_PASSES_RECIEVED,1.53,25
PRESSURES,13.47,60
TACKLES,2.27,67
INTERCEPTIONS,1.15,38
BLOCKS,2.18,71
CLEARANCES,3.60,89
AERIAL_DUELS_WON,1.47,69
