Benrahma,Saïd,West Ham
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,8
NON_PEN_XG,0.15,28
TOTAL_SHOTS,2.26,64
ASSISTS,0.39,95
XA,0.28,91
NON_PEN_XG+XA,0.43,64
SHOT_CREATIONS,3.56,64
PASSES_ATTEMPTED,34.10,30
PASS_COMPLETION_PERCENTAGE,78.0,67
PROGRESSIVE_PASSES,3.04,49
PROGRESSIVE CARRIES,8.02,83
DRIBBLES_COMPLETED,3.11,91
TOUCHES_IN_AREA,3.95,55
PROGRESSIVE_PASSES_RECIEVED,5.56,29
PRESSURES,18.57,77
TACKLES,2.01,89
INTERCEPTIONS,0.84,61
BLOCKS,0.97,24
CLEARANCES,0.65,62
AERIAL_DUELS_WON,0.19,6
